short_sha,date,subject,category,files_touched_count,production_files_touched_count,test_files_touched_count,docs_tooling_files_touched_count,notes
8d2da99,2026-03-19,Initial commit,mixed_or_unclear,90,48,34,8,Broad or generic subject does not identify one primary change intent.
5e0bfe0,2026-03-19,"Rule Priority Hierarchy, Typed Uncertainty Resolution, Single-failure targeted retries, & Validator-voice policy cleanup",mixed_or_unclear,6,3,3,0,Subject enumerates several distinct behavioral and cleanup intents.
7e65d92,2026-03-19,"Context-anchored uncertainty renderer, Remove reusable generic uncertainty templates, Contextual lead selection, Prevent uncertainty override of known facts, & Upgrade scene momentum into interaction pressure",mixed_or_unclear,9,5,3,1,Subject enumerates several distinct behavioral and cleanup intents.
682ee69,2026-03-21,Guantlet v0.2.0,mixed_or_unclear,3,3,0,0,Commit message and path mix do not establish a reliable primary category.
09863c6,2026-03-21,Fix dialogue/adjudication routing and remove scaffold text leakage; improve follow-up response handling,bug_fix,7,7,0,0,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
cd32821,2026-03-22,Foundation Cleanup #1,refactor_architecture,19,12,7,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
78bf027,2026-03-22,Imperative & Advisory Tone Kill,mixed_or_unclear,7,5,2,0,Commit message and path mix do not establish a reliable primary category.
a8b1421,2026-03-22,Hybrid Template Fragement Cleanup,refactor_architecture,5,4,1,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
c1006e5,2026-03-22,Foundation Cleanup #2,refactor_architecture,14,9,5,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
564a150,2026-03-22,Foundation Cleanup #3,refactor_architecture,12,8,4,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
2c24fe8,2026-03-24,Contamination Cleanup,refactor_architecture,29,20,9,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
08088a9,2026-03-24,Bootstrapping & Role Inconsistency,mixed_or_unclear,14,12,2,0,Commit message and path mix do not establish a reliable primary category.
3110993,2026-03-25,Social Target Resolution & Addressable Actions,mixed_or_unclear,9,7,2,0,Commit message and path mix do not establish a reliable primary category.
863d09a,2026-03-25,Lead-to-Consequence Vertical Slice Honing,test_only,7,0,7,0,No production paths changed; commit is confined to tests plus supporting docs/tooling.
