module,file,kind,ecosystem_module,responsibility,ownership_reference_count,ownership_registry,owner_bucket,final_emission_ownership,gate_ownership,replay_ownership,fallback_ownership,speaker_ownership,semantic_replacement_attribution
tests.helpers.failure_classification_sync,tests/helpers/failure_classification_sync.py,helper,True,supporting contract/test,414,0,156,2,18,2,236,0,0
tests.test_failure_classifier,tests/test_failure_classifier.py,test,True,supporting contract/test,384,0,53,19,33,0,278,1,0
tests.test_ownership_registry,tests/test_ownership_registry.py,test,True,ownership enforcement,380,94,23,64,133,14,46,6,0
tests.test_final_emission_meta,tests/test_final_emission_meta.py,test,True,supporting contract/test,338,0,51,30,31,3,222,1,0
tests.test_golden_replay_fallback_projection,tests/test_golden_replay_fallback_projection.py,test,True,replay projection/governance,273,0,42,4,32,1,193,1,0
game.final_emission_ownership_schema,game/final_emission_ownership_schema.py,production,True,ownership enforcement,174,0,13,5,16,1,136,3,0
tests.test_runtime_lineage_telemetry,tests/test_runtime_lineage_telemetry.py,test,True,semantic replacement attribution,158,0,20,14,21,0,101,2,0
tests.test_failure_classification_contract,tests/test_failure_classification_contract.py,test,False,supporting contract/test,149,0,44,6,8,0,91,0,0
game.attribution_read_views,game/attribution_read_views.py,production,False,semantic replacement attribution,145,0,31,6,6,0,102,0,0
game.final_emission_replay_projection,game/final_emission_replay_projection.py,production,True,replay projection/governance,145,0,21,7,13,2,96,6,0
tests.test_failure_dashboard_controlled_failures,tests/test_failure_dashboard_controlled_failures.py,test,False,supporting contract/test,125,0,15,23,22,0,65,0,0
game.final_emission_meta,game/final_emission_meta.py,production,True,final-emission policy/metadata,114,0,45,4,3,1,61,0,0
tests.test_opening_fallback_owner_bucket,tests/test_opening_fallback_owner_bucket.py,test,True,fallback selection/projection,109,0,32,6,9,0,62,0,0
tests.test_replacement_attribution_inventory,tests/test_replacement_attribution_inventory.py,test,True,semantic replacement attribution,109,0,54,0,17,1,32,1,4
tests.helpers.replacement_attribution_inventory,tests/helpers/replacement_attribution_inventory.py,helper,True,semantic replacement attribution,99,0,60,0,6,0,31,0,2
tests.helpers.failure_classifier,tests/helpers/failure_classifier.py,helper,True,supporting contract/test,97,0,33,2,0,3,58,1,0
game.final_emission_owner_bucket_views,game/final_emission_owner_bucket_views.py,production,True,final-emission policy/metadata,92,0,19,2,9,0,62,0,0
tests.test_final_emission_visibility_fallback,tests/test_final_emission_visibility_fallback.py,test,True,fallback selection/projection,82,0,23,1,11,0,47,0,0
tests.test_final_emission_gate_delegator_regression,tests/test_final_emission_gate_delegator_regression.py,test,True,gate orchestration/preflight,70,0,0,13,28,0,24,5,0
scripts.bu4_ownership_write_path_discovery,scripts/bu4_ownership_write_path_discovery.py,script,False,ownership enforcement,69,1,23,8,0,1,33,0,3
tests.helpers.ownership_write_path_governance,tests/helpers/ownership_write_path_governance.py,helper,True,ownership enforcement,67,0,33,4,1,0,29,0,0
tests.helpers.golden_replay,tests/helpers/golden_replay.py,helper,True,replay projection/governance,65,0,10,0,0,1,53,1,0
game.ownership_projection_views,game/ownership_projection_views.py,production,False,ownership enforcement,59,0,0,3,4,0,49,3,0
tests.test_run_scenario_spine_validation,tests/test_run_scenario_spine_validation.py,test,False,supporting contract/test,58,0,13,5,16,0,21,3,0
tests.helpers.attribution_contract,tests/helpers/attribution_contract.py,helper,True,semantic replacement attribution,53,0,34,1,0,0,13,0,5
tests.helpers.failure_dashboard_fixtures,tests/helpers/failure_dashboard_fixtures.py,helper,False,supporting contract/test,52,0,12,0,4,1,34,1,0
tests.helpers.gate_thin_boundary_locks,tests/helpers/gate_thin_boundary_locks.py,helper,True,gate orchestration/preflight,51,3,0,7,41,0,0,0,0
tests.test_final_emission_opening_fallback,tests/test_final_emission_opening_fallback.py,test,True,fallback selection/projection,49,0,20,0,9,0,20,0,0
game.final_emission_visibility_fallback,game/final_emission_visibility_fallback.py,production,True,fallback selection/projection,48,0,23,2,1,0,22,0,0
game.runtime_lineage_telemetry,game/runtime_lineage_telemetry.py,production,True,semantic replacement attribution,45,0,12,1,0,0,32,0,0
tests.failure_classification_contract,tests/failure_classification_contract.py,test,True,supporting contract/test,43,0,15,1,0,1,26,0,0
tests.test_final_emission_sealed_fallback,tests/test_final_emission_sealed_fallback.py,test,True,fallback selection/projection,42,0,9,1,6,0,26,0,0
tests.helpers.opening_fallback_evidence,tests/helpers/opening_fallback_evidence.py,helper,True,fallback selection/projection,40,0,20,0,3,0,17,0,0
tests.helpers.replay_drift_taxonomy,tests/helpers/replay_drift_taxonomy.py,helper,True,replay projection/governance,38,0,17,0,1,4,10,6,0
tests.test_architecture_audit_tool,tests/test_architecture_audit_tool.py,test,False,supporting contract/test,33,0,0,18,15,0,0,0,0
tests.test_bz_protected_replay_trend_window_2,tests/test_bz_protected_replay_trend_window_2.py,test,False,supporting contract/test,31,0,17,0,3,0,5,6,0
tests.replay_governance_registry,tests/replay_governance_registry.py,test,True,ownership enforcement,29,0,21,0,0,3,3,2,0
tests.helpers.golden_replay_projection,tests/helpers/golden_replay_projection.py,helper,True,replay projection/governance,28,0,11,0,0,2,14,1,0
game.final_emission_sealed_fallback,game/final_emission_sealed_fallback.py,production,True,fallback selection/projection,26,0,10,3,1,0,12,0,0
tests.test_replay_drift_taxonomy,tests/test_replay_drift_taxonomy.py,test,True,replay projection/governance,24,0,1,2,4,6,4,7,0
tests.test_golden_replay_projection,tests/test_golden_replay_projection.py,test,True,replay projection/governance,23,0,6,0,0,0,16,1,0
game.output_sanitizer,game/output_sanitizer.py,production,True,sanitizer boundary,22,0,6,2,0,0,14,0,0
tests.helpers.failure_dashboard_report,tests/helpers/failure_dashboard_report.py,helper,True,supporting contract/test,22,0,5,0,4,8,5,0,0
tests.test_replay_drift_longitudinal,tests/test_replay_drift_longitudinal.py,test,False,replay projection/governance,22,0,8,0,10,0,0,4,0
tests.test_attribution_contract,tests/test_attribution_contract.py,test,True,semantic replacement attribution,20,0,13,0,2,0,4,0,1
tests.test_fallback_incidence_report,tests/test_fallback_incidence_report.py,test,True,fallback selection/projection,18,0,2,5,5,0,6,0,0
tests.test_final_emission_gate_selector_snapshots,tests/test_final_emission_gate_selector_snapshots.py,test,True,gate orchestration/preflight,18,0,5,1,3,0,9,0,0
tests.helpers.replay_bug_recurrence,tests/helpers/replay_bug_recurrence.py,helper,False,supporting contract/test,17,0,12,0,3,2,0,0,0
tests.test_bv10a_read_facade_delegates,tests/test_bv10a_read_facade_delegates.py,test,False,supporting contract/test,16,0,5,2,1,0,8,0,0
tests.test_failure_dashboard_report,tests/test_failure_dashboard_report.py,test,True,supporting contract/test,16,0,0,4,5,1,2,4,0
