commit_hash,reviewed,qualifies,confidence,defect_statement,repair_family,notes
0e5fe3aad92002d175895b7c6eba51f47e46ee72,true,false,,,,CA6 reviewed 2026-06-22; excluded=test instrumentation only
b0803f2703dccda3f2a34588ecf589f00492ca61,true,false,,,,CA6 reviewed 2026-06-22; excluded=replay trend instrumentation
a31cb35a35408d8cad0a914b474989a289015685,true,false,,,,CA6 reviewed 2026-06-22; excluded=replay trend instrumentation
d65a53503ba70dc9b59de00d165419592171c1bf,true,false,,,,CA6 reviewed 2026-06-22; excluded=fallback incidence instrumentation
683c8dfb6e5e086e7bf03f4b616d7ded4d2785aa,true,false,,,,CA6 reviewed 2026-06-22; excluded=BK ownership compression cycle
97b1836d58e46fc3c17eee875c4305c5d02cd869,true,false,,,,CA6 reviewed 2026-06-22; excluded=BL replay projection simplification
f7e73fbf6f38c92a93831b42d87f17136b8d88c9,true,false,,,,CA6 reviewed 2026-06-22; excluded=BI replay ownership isolation
a7d6025b6990ad16b5ef5acac25c8f8c65294aba,true,false,,,,CA6 reviewed 2026-06-22; excluded=AY recurrence tracking instrumentation
ca830c20b236e098ffb7f9c99370b369cc37c93c,true,false,,,,CA6 reviewed 2026-06-22; excluded=BB replay surface compression
d067e5197ae478188c7b59bc7012b4dc5cce293c,true,false,,,,CA6 reviewed 2026-06-22; excluded=AX replay harness simplification
e9263f1943e06dadf0e0ebefcfaa782c29fff354,true,false,,,,CA6 reviewed 2026-06-22; excluded=BC golden replay concentration reduction
7ed7a8bf2ae92fe202e7b7473bed919f12cad5f8,true,false,,,,CA6 reviewed 2026-06-22; excluded=AU replay ownership compression
ef5fc34f58874ae1cbe07fe5de3622d041439052,true,false,,,,CA6 reviewed 2026-06-22; excluded=AV replay drift governance promotion
6210a5d6d703ab5bd901a55777b1be3acd3eef77,true,false,,,,CA6 reviewed 2026-06-22; excluded=AR replay drift classification
59c14aa41fac7365846796f646a1e589ca1a28bb,true,false,,,,CA6 reviewed 2026-06-22; excluded=AP fallback authorship resolution cycle
927dae2f3d8efc784902f2a9f4bff55d1ac2c512,true,false,,,,CA6 reviewed 2026-06-22; excluded=AO replay ownership consolidation cycle
371b38cc23bf2c03ee5b023b69459010163701fa,true,false,,,,CA6 reviewed 2026-06-22; excluded=AJ opening fallback metadata consolidation
43de427005379fdc08dd5164c5c8df72e6788f4f,true,false,,,,CA6 reviewed 2026-06-22; excluded=AK replay schema maintenance recon
b1c168065f7a69322bc6f93ce29e8e2eb9d2d798,true,false,,,,CA6 reviewed 2026-06-22; excluded=AM fallback adapter retirement cycle
2d0ca8212dff2ac0089a2982e28a406a1fad2a50,true,false,,,,CA6 reviewed 2026-06-22; excluded=Cycle AC replay surface compression
b54b31154e0e9e6e2313624d6103f723c9cd8bcc,true,false,,,,CA6 reviewed 2026-06-22; excluded=Cycle AB fallback topology collapse
c45cfe0db2ccbf7b074a1dc9fc0f09bc84e39d4b,true,false,,,,CA6 reviewed 2026-06-22; excluded=strict social fallback ownership extraction finalize
6ecb98eb23e54d390a0bb383baad555e83844e2f,true,false,,,,CA6 reviewed 2026-06-22; excluded=Cycle Q replay cost compression
1c5b9d8f9efcf72f9925cb0392d9746f388abbf9,true,false,,,,CA6 reviewed 2026-06-22; excluded=Cycle P fallback family ownership collapse
2619bb5f1493cbd9fe85e2a688157f0538728d07,true,false,,,,CA6 reviewed 2026-06-22; excluded=K replay acceptance gate promotion
fd5f1a91176a335b148de903163bbbd44bced6ec,true,false,,,,CA6 reviewed 2026-06-22; excluded=Cycle I opening fallback authorship contract
