"Path","Filename","Category","ProposedDestination","Confidence","Reason"
"artifacts\architecture_audit\architecture_audit.json","architecture_audit.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\architecture_audit\architecture_audit.md","architecture_audit.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\attribution_completeness_report.md","attribution_completeness_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\attribution_regression_guard_report.md","attribution_regression_guard_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bo_maintenance_audit.json","bo_maintenance_audit.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bs_attribution_baseline_report.md","bs_attribution_baseline_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bs3_contract_compliance_report.md","bs3_contract_compliance_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bs4_producer_stamp_report.md","bs4_producer_stamp_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bs5_projection_convergence_report.md","bs5_projection_convergence_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bug_fix_locality_regression_guard_report.md","bug_fix_locality_regression_guard_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bug_fix_locality_report.md","bug_fix_locality_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv1_attribution_completeness_report.md","bv1_attribution_completeness_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv1_bug_fix_locality_report.md","bv1_bug_fix_locality_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv1_maintenance_matrix_data.json","bv1_maintenance_matrix_data.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv1_measurements.json","bv1_measurements.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv10_dependency_inventory.json","bv10_dependency_inventory.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv11_hotspot_analysis.json","bv11_hotspot_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv12_smoke_bridge_analysis.json","bv12_smoke_bridge_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv13_final_emission_text_analysis.json","bv13_final_emission_text_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv14_social_exchange_emission_analysis.json","bv14_social_exchange_emission_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
