module,rel_path,function,field,line,mechanism,writer_class,schema_source,notes
game.api,game/api.py,_synthetic_manual_play_gpt_budget_gm,realization_fallback_family,0,curated,fallback selection writer,game.realization_provenance,Manual-play GPT budget exhausted synthetic GM metadata
game.api,game/api.py,_build_gpt_narration_from_authoritative_state,realization_fallback_family,0,curated,fallback selection writer,game.realization_provenance,Upstream API fast-fallback path stamps metadata after force_terminal_retry_fallback
game.diegetic_fallback_narration,game/diegetic_fallback_narration.py,fallback_template_metadata,fallback_family_used,0,curated,fallback selection writer,game.diegetic_fallback_narration,Diegetic template → fallback_family_used taxonomy
game.fallback_provenance_debug,game/fallback_provenance_debug.py,apply_upstream_fallback_pregate_containment,fallback_family,269,assignment_or_kwarg,debug-only writer,game.final_emission_meta (FEM_FALLBACK_PROVENANCE_TRACE_KEY),Packages fallback_provenance_trace onto FEM
game.fallback_provenance_debug,game/fallback_provenance_debug.py,finalize_upstream_fallback_overwrite_containment,fallback_family,338,assignment_or_kwarg,debug-only writer,game.final_emission_meta (FEM_FALLBACK_PROVENANCE_TRACE_KEY),Packages fallback_provenance_trace onto FEM
game.fallback_provenance_debug,game/fallback_provenance_debug.py,record_final_emission_gate_exit,fallback_provenance_trace,0,curated,debug-only writer,game.final_emission_meta.FEM_FALLBACK_PROVENANCE_TRACE_KEY,Packages upstream fast-fallback provenance trace onto FEM
game.final_emission_acceptance_quality,game/final_emission_acceptance_quality.py,apply_acceptance_quality_n4_floor_seam,fallback_family,209,assignment_or_kwarg,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.final_emission_fem_assembly,game/final_emission_fem_assembly.py,build_gate_accept_fem_base,speaker_contract_enforcement_reason,116,subscript_store,FEM schema writer,game.final_emission_meta + game.realization_provenance,Terminal FEM merge; copies strict-social / speaker reason fields
game.final_emission_fem_assembly,game/final_emission_fem_assembly.py,build_gate_replace_fem_base,realization_fallback_family,163,subscript_store,FEM schema writer,game.final_emission_meta + game.realization_provenance,Terminal FEM merge; copies strict-social / speaker reason fields
game.final_emission_fem_assembly,game/final_emission_fem_assembly.py,build_gate_replace_fem_base,speaker_contract_enforcement_reason,182,subscript_store,FEM schema writer,game.final_emission_meta + game.realization_provenance,Terminal FEM merge; copies strict-social / speaker reason fields
