source_module,imported_module,symbol_scope,category,needed_by_hub,direct_or_indirect,reason_exists,proposed_reduction_pattern,behavior_risk,protecting_tests
final_emission_strict_social_stack,game.final_emission_finalize,module,O,true,direct,Exit finalize_emission_output,Keep single orchestration import,low,test_final_emission_boundary_convergence;test_turn_packet_stage_diff_integration
final_emission_strict_social_stack,game.final_emission_terminal_pipeline,module,O,true,direct,Late terminal enforcement pipeline,Keep single orchestration import,low,test_final_emission_gate_orchestration_order;test_final_emission_gate_n4
final_emission_strict_social_stack,game.dialogue_social_plan,symbols,P,true,direct,Pre-build invariant and late dialogue strip,Keep order-sensitive,high,test_dialogue_plan_final_emission_gate;test_final_emission_gate_orchestration_order
final_emission_strict_social_stack,game.final_emission_fem_assembly,module,M,true,direct,FEM base build and layer meta merge into FEM,Expand to absorb merge_* imports from layer modules,low,test_final_emission_gate_diagnostics;test_final_emission_gate_selector_snapshots
final_emission_strict_social_stack,game.final_emission_repairs,module,P,true,direct,Answer/social repair layers,Keep; optional RepairsResult bundle later,low,test_final_emission_gate_orchestration_order
final_emission_strict_social_stack,game.final_emission_response_type,module,P,true,direct,Response-type contract enforcement,Keep,medium,test_final_emission_response_type;test_final_emission_gate_orchestration_order
final_emission_strict_social_stack,game.final_emission_meta,symbols,M,true,direct,FEM keys source inference decision payload,Dedupe duplicate import blocks,low,test_final_emission_gate_delegator_regression
final_emission_strict_social_stack,game.final_emission_sealed_fallback,symbol,F,true,direct,Replace-path realization family stamp,Keep on replace branch,low,test_final_emission_sealed_fallback
final_emission_strict_social_stack,game.final_emission_fast_fallback_composition,symbol,P,true,direct,FFNC composition layer,Keep,medium,test_final_emission_fast_fallback_composition
final_emission_strict_social_stack,game.final_emission_answer_shape_primacy,symbols,P,true,direct,ASP layer and debug merge,Merge debug via fem_assembly bundle,low,test_answer_shape_primacy
final_emission_strict_social_stack,game.final_emission_scene_state_anchor,symbols,P,true,direct,SSA layer and debug merge,Merge debug via fem_assembly bundle,low,test_scene_state_anchoring;test_final_emission_scene_state_anchor
final_emission_strict_social_stack,game.final_emission_context_separation,symbols,P,true,direct,CS layer and debug merge,Merge debug via fem_assembly bundle,low,test_context_separation
final_emission_strict_social_stack,game.final_emission_player_facing_narration_purity,symbols,P,true,direct,Purity layer and debug merge,Merge debug via fem_assembly bundle,low,test_player_facing_narration_purity
final_emission_strict_social_stack,game.final_emission_anti_railroading,symbols,P,true,direct,AR layer and debug merge,Merge debug via fem_assembly bundle,low,test_anti_railroading
final_emission_strict_social_stack,game.final_emission_tone_escalation,symbols,P,true,direct,TE layer merge and pregate flag,Merge debug via fem_assembly bundle,low,test_tone_escalation_rules
final_emission_strict_social_stack,game.final_emission_narrative_authority,symbols,P,true,direct,NA layer and debug merge,Merge debug via fem_assembly bundle,low,test_narrative_authority_rules
final_emission_strict_social_stack,game.final_emission_scene_emit_integrity,symbol,P,true,direct,Scene emit integrity bundle for finalize,Typed input bundle from gate preflight,medium,test_final_emission_scene_emit_integrity
final_emission_strict_social_stack,game.final_emission_text,symbols,X,true,direct,Text normalization,Keep shared primitive,low,test_final_emission_gate_orchestration_order
final_emission_strict_social_stack,game.fallback_provenance_debug,symbol,F,false,metadata_only,Provenance realign after FFNC repair,Return realign hint from FFNC layer owner,low,test_fallback_overwrite_containment;test_final_emission_fast_fallback_composition
final_emission_strict_social_stack,game.speaker_contract_enforcement,symbols,S,true,direct,Speaker enforcement and eff sync,Keep order-sensitive,high,test_speaker_contract_enforcement;test_speaker_contract_enforcement_extraction;post_speaker_finalize_probe
final_emission_strict_social_stack,game.social_exchange_emission,symbols,P/F/T,true,direct,Build logging emergency fallback,Move logging to fem_assembly; keep build/fallback symbols,low,test_social_exchange_emission;test_final_emission_gate_diagnostics
final_emission_strict_social_stack,game.stage_diff_telemetry,symbol,T,false,telemetry,Stage snapshot after strict composition,Optional bundle with finalize telemetry,low,test_turn_packet_stage_diff_integration
final_emission_non_strict_stack,game.final_emission_boundary_contract,symbol,P,true,direct,Mutation assert on IC validate-only,Keep,medium,test_final_emission_boundary_contract
final_emission_non_strict_stack,game.fallback_provenance_debug,symbol,F,false,metadata_only,FFNC provenance realign,Move to FFNC layer return meta,low,test_fallback_overwrite_containment
final_emission_non_strict_stack,game.final_emission_finalize,symbol,M,false,argument_owner,patch_scene_opening_candidate_emission_debug only,Move to opening_fallback or response_type owner,low,test_final_emission_opening_fallback
final_emission_non_strict_stack,game.final_emission_repairs,symbols,P,true,direct,Generic repair layers and FB layer,Keep apply imports drop merge imports,low,test_fallback_behavior_gate
final_emission_non_strict_stack,game.final_emission_fast_fallback_composition,symbol,P,true,direct,FFNC layer,Keep,medium,test_final_emission_fast_fallback_composition
final_emission_non_strict_stack,game.final_emission_answer_shape_primacy,symbols,P,true,direct,ASP layer and merge,Merge via fem_assembly,low,test_answer_shape_primacy
final_emission_non_strict_stack,game.final_emission_scene_state_anchor,symbols,P,true,direct,SSA layer and merge,Merge via fem_assembly,low,test_final_emission_scene_state_anchor
final_emission_non_strict_stack,game.final_emission_context_separation,symbols,P,true,direct,CS layer and merge,Merge via fem_assembly,low,test_context_separation
final_emission_non_strict_stack,game.final_emission_player_facing_narration_purity,symbols,P,true,direct,Purity layer and merge,Merge via fem_assembly,low,test_player_facing_narration_purity
final_emission_non_strict_stack,game.final_emission_anti_railroading,symbols,P,true,direct,AR layer and merge,Merge via fem_assembly,low,test_anti_railroading
final_emission_non_strict_stack,game.final_emission_tone_escalation,symbols,P,true,direct,TE layer and merge,Merge via fem_assembly,low,test_tone_escalation_rules
final_emission_non_strict_stack,game.final_emission_narrative_authority,symbols,P,true,direct,NA layer and merge,Merge via fem_assembly,low,test_narrative_authority_rules
final_emission_non_strict_stack,game.interaction_continuity,symbol,P,true,direct,Validate-only IC before fallback behavior,Keep order-sensitive,high,test_final_emission_gate_orchestration_order
final_emission_non_strict_stack,game.final_emission_opening_fallback,module,F,true,direct,Scene opening accept path promotion,Keep,medium,test_final_emission_opening_fallback
final_emission_non_strict_stack,game.final_emission_response_type,module,P,true,direct,Response-type contract,Keep,medium,test_final_emission_response_type
