module,file,kind,responsibility,bj_added,fan_in_total,fan_in_production,fan_in_tests,fan_in_helpers,fan_in_scripts,fan_out_total,fan_out_production,fan_out_tests,fan_out_helpers,fan_out_scripts,importer_files,imported_modules
game.dialogue_social_plan,game/dialogue_social_plan.py,production,strict-social composition,False,14,2,10,2,0,2,2,0,0,0,game/final_emission_strict_social_stack.py;game/narration_plan_bundle.py;tests/helpers/dialogue_social_plan.py;tests/helpers/post_speaker_finalize_probe.py;tests/test_dialogue_plan_final_emission_gate.py;tests/test_dialogue_social_convergence.py;tests/test_dialogue_social_plan.py;tests/test_dialogue_social_plan_block_x_contract_pins.py;tests/test_dialogue_social_plan_block_y.py;tests/test_dialogue_social_plan_block_z.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py;tests/test_speaker_contract_enforcement.py;tests/test_strict_social_emergency_fallback_dialogue.py,game.final_emission_text;game.social_exchange_emission
game.diegetic_fallback_narration,game/diegetic_fallback_narration.py,production,fallback selection/projection,False,14,8,6,0,0,1,1,0,0,0,game/final_emission_generic_exit.py;game/final_emission_opening_fallback.py;game/final_emission_text.py;game/final_emission_visibility_fallback.py;game/gm.py;game/gm_retry.py;game/response_policy_enforcement.py;game/upstream_response_repairs.py;tests/test_diegetic_fallback_block4.py;tests/test_diegetic_fallback_narration.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_opening_fallback.py;tests/test_human_adjacent_focus.py;tests/test_ownership_registry.py,game.human_adjacent_focus
game.emitted_speaker_signature,game/emitted_speaker_signature.py,production,speaker finalization,False,7,3,2,2,0,3,3,0,0,0,game/final_emission_gate.py;game/post_emission_speaker_adoption.py;game/speaker_contract_enforcement.py;tests/helpers/post_speaker_finalize_probe.py;tests/helpers/speaker_contract_risk.py;tests/test_speaker_contract_enforcement.py;tests/test_speaker_contract_enforcement_extraction.py,game.final_emission_text;game.social;game.social_exchange_emission
game.fallback_behavior,game/fallback_behavior.py,production,fallback selection/projection,False,1,1,0,0,0,0,0,0,0,0,game/prompt_context.py,
game.fallback_provenance_debug,game/fallback_provenance_debug.py,production,fallback selection/projection,False,11,6,5,0,0,3,3,0,0,0,game/api.py;game/final_emission_finalize.py;game/final_emission_gate_preflight_telemetry.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;game/gm_retry.py;tests/test_fallback_overwrite_containment.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py;tests/test_turn_packet_stage_diff_integration.py;tests/test_upstream_fast_fallback_block_l.py,game.final_emission_boundary_contract;game.final_emission_meta;game.final_emission_text
game.final_emission_acceptance_quality,game/final_emission_acceptance_quality.py,production,final-emission policy/metadata,True,5,1,4,0,0,5,5,0,0,0,game/final_emission_terminal_pipeline.py;tests/test_final_emission_acceptance_quality.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_n4.py;tests/test_ownership_registry.py,game.acceptance_quality;game.final_emission_boundary_contract;game.final_emission_meta;game.final_emission_sealed_fallback;game.final_emission_text
game.final_emission_answer_shape_primacy,game/final_emission_answer_shape_primacy.py,production,final-emission policy/metadata,True,7,4,3,0,0,5,5,0,0,0,game/final_emission_fem_assembly.py;game/final_emission_gate_preflight_defaults.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_answer_shape_primacy.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py,game.final_emission_player_facing_narration_purity;game.final_emission_text;game.final_emission_validators;game.response_policy_contracts;game.social_exchange_emission
game.final_emission_anti_railroading,game/final_emission_anti_railroading.py,production,final-emission policy/metadata,True,7,4,3,0,0,6,6,0,0,0,game/final_emission_fem_assembly.py;game/final_emission_gate_preflight_defaults.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_anti_railroading.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py,game.anti_railroading;game.final_emission_narrative_authority;game.final_emission_scene_state_anchor;game.response_policy_contracts;game.social_exchange_emission;game.turn_packet
game.final_emission_boundary_contract,game/final_emission_boundary_contract.py,production,final-emission policy/metadata,False,12,9,3,0,0,0,0,0,0,0,game/fallback_provenance_debug.py;game/final_emission_acceptance_quality.py;game/final_emission_finalize.py;game/final_emission_generic_exit.py;game/final_emission_non_strict_stack.py;game/final_emission_repairs.py;game/final_emission_terminal_pipeline.py;game/final_emission_visibility_fallback.py;game/interaction_continuity.py;tests/test_final_emission_boundary_contract.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py,
game.final_emission_context_separation,game/final_emission_context_separation.py,production,final-emission policy/metadata,True,7,4,3,0,0,6,6,0,0,0,game/final_emission_fem_assembly.py;game/final_emission_gate_preflight_defaults.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_context_separation.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py,game.context_separation;game.final_emission_text;game.narrative_authority;game.response_policy_contracts;game.social_exchange_emission;game.turn_packet
