commit_hash,date,title,exclusion_reason,review_notes
0e5fe3aad92002d175895b7c6eba51f47e46ee72,2026-06-22,BY: First Semantic Mutation Attribution,Test and helper instrumentation only; no production runtime source repair; primary intent is semantic mutation attribution observability,CA6 review 2026-06-22; production_files=0
b0803f2703dccda3f2a34588ecf589f00492ca61,2026-06-22,BZ: Protected Replay Trend Window #2,Test and generated-artifact trend instrumentation only; no production runtime source repair; primary intent is replay trend measurement,CA6 review 2026-06-22; production_files=0
a31cb35a35408d8cad0a914b474989a289015685,2026-06-21,BW: Protected Replay Trend Window,Test and generated-artifact trend instrumentation only; no production runtime source repair; primary intent is replay trend measurement,CA6 review 2026-06-22; production_files=0
d65a53503ba70dc9b59de00d165419592171c1bf,2026-06-19,BP: Runtime Fallback Incidence Instrumentation,Observability and test instrumentation only; no production runtime source repair; primary intent is fallback incidence measurement,CA6 review 2026-06-22; production_files=0
683c8dfb6e5e086e7bf03f4b616d7ded4d2785aa,2026-06-17,BK: Fallback Ownership Compression,Planned fallback ownership compression cycle delivery; no evidenced concrete defect repair boundary separable from architecture refactor,CA6 review 2026-06-22; cycle=BK
97b1836d58e46fc3c17eee875c4305c5d02cd869,2026-06-16,BL: Replay Projection Simplification,Test-side replay projection simplification only; no production runtime source repair; primary intent is maintenance compression,CA6 review 2026-06-22; production_files=0
f7e73fbf6f38c92a93831b42d87f17136b8d88c9,2026-06-13,BI: Golden Replay Ownership Isolation,Test ownership isolation refactor only; no production runtime source repair; primary intent is replay governance decomposition,CA6 review 2026-06-22; production_files=0
a7d6025b6990ad16b5ef5acac25c8f8c65294aba,2026-06-10,AY: Bug-Class Recurrence Tracking,Recurrence tracking instrumentation only; no production runtime source repair; primary intent is observability not defect repair,CA6 review 2026-06-22; production_files=0
ca830c20b236e098ffb7f9c99370b369cc37c93c,2026-06-10,BB: Replay Surface Area Compression,Test replay surface compression only; no production runtime source repair; primary intent is maintenance reduction,CA6 review 2026-06-22; production_files=0
d067e5197ae478188c7b59bc7012b4dc5cce293c,2026-06-10,AX: Replay Harness Simplification,Test harness simplification only; no production runtime source repair; primary intent is test maintenance compression,CA6 review 2026-06-22; production_files=0
e9263f1943e06dadf0e0ebefcfaa782c29fff354,2026-06-10,BC: Golden Replay Concentration Reduction,Test golden replay concentration reduction only; no production runtime source repair; primary intent is test maintenance compression,CA6 review 2026-06-22; production_files=0
7ed7a8bf2ae92fe202e7b7473bed919f12cad5f8,2026-06-07,AU: Golden Replay Ownership Compression,Test ownership compression only; no production runtime source repair; primary intent is replay governance refactor,CA6 review 2026-06-22; production_files=0
ef5fc34f58874ae1cbe07fe5de3622d041439052,2026-06-07,AV: Replay Drift Governance Promotion,Test and docs governance promotion only; no production runtime source repair; primary intent is observability promotion,CA6 review 2026-06-22; production_files=0
